
morse.colorado.edu 128.138.184.74 
www.websites.web.com 64.69.213.61 
showcase2.myregisteredsite.com 209.237.150.20 
assets.webservices.websitepros.com 64.69.216.234 
showcase8.myregisteredsite.com 209.237.150.20 
redirector.gvt1.com 172.217.2.14 
showcase50.myregisteredsite.com 209.237.150.20 
m.showcase50.myregisteredsite.com 23.21.77.60 
showcase3.myregisteredsite.com 209.237.150.20 
assets.myregisteredsite.com 64.69.216.234 
showcase13.myregisteredsite.com 209.237.150.20 
showcase11.myregisteredsite.com 209.237.150.20 
showcase5.myregisteredsite.com 209.237.150.20 
showcase1.myregisteredsite.com 209.237.150.20 
showcase26.myregisteredsite.com 209.237.150.20 
scorecard.wspisp.net 64.69.216.108 
showcase27.myregisteredsite.com 209.237.150.20 
